"filename", "language", "Java Properties", "XML", "comment", "blank", "total"
"c:\Users\eqz03\frc_app\android\app\src\debug\AndroidManifest.xml", "XML", 0, 3, 4, 1, 8
"c:\Users\eqz03\frc_app\android\app\src\main\AndroidManifest.xml", "XML", 0, 34, 11, 1, 46
"c:\Users\eqz03\frc_app\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 4, 7, 2, 13
"c:\Users\eqz03\frc_app\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 4, 7, 2, 13
"c:\Users\eqz03\frc_app\android\app\src\main\res\values-night\styles.xml", "XML", 0, 9, 9, 1, 19
"c:\Users\eqz03\frc_app\android\app\src\main\res\values\styles.xml", "XML", 0, 9, 9, 1, 19
"c:\Users\eqz03\frc_app\android\app\src\profile\AndroidManifest.xml", "XML", 0, 3, 4, 1, 8
"c:\Users\eqz03\frc_app\android\gradle.properties", "Java Properties", 3, 0, 0, 1, 4
"c:\Users\eqz03\frc_app\android\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 5, 0, 0, 1, 6
"Total", "-", 8, 66, 51, 11, 136
