"filename", "language", "Dart", "Java Properties", "XML", "comment", "blank", "total"
"c:\Users\eqz03\frc_app\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, -3, -4, -1, -8
"c:\Users\eqz03\frc_app\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, -34, -11, -1, -46
"c:\Users\eqz03\frc_app\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, -4, -7, -2, -13
"c:\Users\eqz03\frc_app\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, -4, -7, -2, -13
"c:\Users\eqz03\frc_app\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, -9, -9, -1, -19
"c:\Users\eqz03\frc_app\android\app\src\main\res\values\styles.xml", "XML", 0, 0, -9, -9, -1, -19
"c:\Users\eqz03\frc_app\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, -3, -4, -1, -8
"c:\Users\eqz03\frc_app\android\gradle.properties", "Java Properties", 0, -3, 0, 0, -1, -4
"c:\Users\eqz03\frc_app\android\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, -5, 0, 0, -1, -6
"c:\Users\eqz03\frc_app\lib\app.dart", "Dart", 36, 0, 0, 3, 9, 48
"c:\Users\eqz03\frc_app\lib\home\home_page.dart", "Dart", 58, 0, 0, 2, 8, 68
"c:\Users\eqz03\frc_app\lib\main.dart", "Dart", 5, 0, 0, 0, 1, 6
"c:\Users\eqz03\frc_app\lib\widgets\app_drawer.dart", "Dart", 57, 0, 0, 0, 5, 62
"c:\Users\eqz03\frc_app\lib\widgets\app_header.dart", "Dart", 56, 0, 0, 1, 4, 61
"c:\Users\eqz03\frc_app\lib\widgets\user_menu\user_menu.dart", "Dart", 61, 0, 0, 0, 5, 66
"Total", "-", 273, -8, -66, -45, 21, 175
