"filename", "language", "C++", "Swift", "XML", "Markdown", "JSON", "Dart", "comment", "blank", "total"
"c:\Users\eqz03\frc_app\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 7, 0, 0, 0, 0, 2, 4, 13
"c:\Users\eqz03\frc_app\ios\Runner\AppDelegate.swift", "Swift", 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\eqz03\frc_app\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\eqz03\frc_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 1, 24
"c:\Users\eqz03\frc_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 3, 0, 0, 0, 2, 5
"c:\Users\eqz03\frc_app\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 36, 0, 0, 0, 1, 1, 38
"c:\Users\eqz03\frc_app\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 25, 0, 0, 0, 1, 1, 27
"c:\Users\eqz03\frc_app\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\eqz03\frc_app\lib\widgets\app_drawer.dart", "Dart", 0, 0, 0, 0, 0, -57, 0, -5, -62
"c:\Users\eqz03\frc_app\lib\widgets\app_header.dart", "Dart", 0, 0, 0, 0, 0, -56, -1, -4, -61
"c:\Users\eqz03\frc_app\lib\widgets\user_menu\user_menu.dart", "Dart", 0, 0, 0, 0, 0, -61, 0, -5, -66
"Total", "-", 1, 19, 61, 3, 24, -174, 3, -2, -65
