"filename", "language", "Dart", "C++", "Swift", "XML", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\eqz03\frc_app\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, -7, 0, 0, 0, -2, -4, -13
"c:\Users\eqz03\frc_app\ios\Runner\AppDelegate.swift", "Swift", 0, 0, -12, 0, 0, 0, 0, -2, -14
"c:\Users\eqz03\frc_app\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, -1, 0, 0, -1
"c:\Users\eqz03\frc_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, -23, 0, -1, -24
"c:\Users\eqz03\frc_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, -3, 0, 0, -2, -5
"c:\Users\eqz03\frc_app\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, -36, 0, 0, -1, -1, -38
"c:\Users\eqz03\frc_app\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, -25, 0, 0, -1, -1, -27
"c:\Users\eqz03\frc_app\ios\Runner\Runner-Bridging-Header.h", "C++", 0, -1, 0, 0, 0, 0, 0, -1, -2
"c:\Users\eqz03\frc_app\lib\app.dart", "Dart", 36, 0, 0, 0, 0, 0, 3, 9, 48
"c:\Users\eqz03\frc_app\lib\home\home_page.dart", "Dart", 58, 0, 0, 0, 0, 0, 2, 8, 68
"c:\Users\eqz03\frc_app\lib\main.dart", "Dart", 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\eqz03\frc_app\lib\widgets\app_drawer.dart", "Dart", 57, 0, 0, 0, 0, 0, 0, 5, 62
"c:\Users\eqz03\frc_app\lib\widgets\app_header.dart", "Dart", 56, 0, 0, 0, 0, 0, 1, 4, 61
"c:\Users\eqz03\frc_app\lib\widgets\user_menu\user_menu.dart", "Dart", 61, 0, 0, 0, 0, 0, 0, 5, 66
"Total", "-", 273, -1, -19, -61, -3, -24, 2, 20, 187
