"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\eqz03\frc-app\lib\app.dart", "Dart", 36, 3, 8, 47
"c:\Users\eqz03\frc-app\lib\home\home_page.dart", "Dart", 112, 4, 10, 126
"c:\Users\eqz03\frc-app\lib\main.dart", "Dart", 5, 0, 1, 6
"c:\Users\eqz03\frc-app\lib\pages\analyze_page.dart", "Dart", 11, 0, 3, 14
"c:\Users\eqz03\frc-app\lib\pages\compare_page.dart", "Dart", 11, 0, 3, 14
"c:\Users\eqz03\frc-app\lib\pages\dashboard_page.dart", "Dart", 11, 0, 3, 14
"c:\Users\eqz03\frc-app\lib\pages\export_page.dart", "Dart", 11, 0, 3, 14
"c:\Users\eqz03\frc-app\lib\pages\import_page.dart", "Dart", 11, 0, 3, 14
"c:\Users\eqz03\frc-app\lib\pages\match_scout_page.dart", "Dart", 11, 0, 3, 14
"c:\Users\eqz03\frc-app\lib\pages\pit_scout_page.dart", "Dart", 11, 0, 3, 14
"c:\Users\eqz03\frc-app\lib\pages\settings_page.dart", "Dart", 11, 0, 3, 14
"c:\Users\eqz03\frc-app\lib\widgets\app_drawer.dart", "Dart", 57, 0, 5, 62
"c:\Users\eqz03\frc-app\lib\widgets\app_header.dart", "Dart", 58, 17, 4, 79
"c:\Users\eqz03\frc-app\lib\widgets\system_clock.dart", "Dart", 76, 0, 10, 86
"c:\Users\eqz03\frc-app\lib\widgets\user_menu\user_menu.dart", "Dart", 87, 1, 8, 96
"c:\Users\eqz03\frc_app\lib\app.dart", "Dart", -36, -3, -8, -47
"c:\Users\eqz03\frc_app\lib\home\home_page.dart", "Dart", -113, -5, -11, -129
"c:\Users\eqz03\frc_app\lib\main.dart", "Dart", -5, 0, -1, -6
"c:\Users\eqz03\frc_app\lib\widgets\app_drawer.dart", "Dart", -57, 0, -5, -62
"c:\Users\eqz03\frc_app\lib\widgets\app_header.dart", "Dart", -58, -17, -4, -79
"c:\Users\eqz03\frc_app\lib\widgets\system_clock.dart", "Dart", -76, 0, -10, -86
"c:\Users\eqz03\frc_app\lib\widgets\user_menu\user_menu.dart", "Dart", -87, -1, -8, -96
"Total", "-", 87, -1, 23, 109
